beachName,siteName,collectionDate,eColi
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-21,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-21,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-21,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-21,320
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-21,110
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-22,1450
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-22,30
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-22,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-22,150
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-22,180
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-23,370
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-23,260
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-23,330
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-23,5240
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-23,40
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-24,2170
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-24,140
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-24,30
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-24,90
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-24,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-25,60
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-25,40
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-25,120
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-25,160
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-25,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-26,40
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-26,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-26,40
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-26,100
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-26,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-27,80
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-27,180
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-27,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-27,40
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-27,160
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-28,2330
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-28,40
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-28,40
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-28,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-28,30
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-29,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-29,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-29,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-29,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-29,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-30,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-30,70
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-30,50
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-30,430
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-30,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-05-31,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-05-31,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-05-31,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-05-31,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-05-31,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-06-01,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-06-01,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-06-01,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-06-01,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-06-01,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-06-02,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-06-02,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-06-02,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-06-02,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-06-02,50
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-06-03,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-06-03,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-06-03,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-06-03,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-06-03,20
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-06-04,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-06-04,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-06-04,50
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-06-04,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-06-04,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-06-05,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-06-05,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-06-05,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-06-05,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-06-05,30
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-06-06,30
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-06-06,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-06-06,90
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-06-06,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-06-06,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-06-07,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-06-07,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-06-07,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-06-07,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 5,2007-06-07,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 1,2007-06-08,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 2,2007-06-08,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 3,2007-06-08,10
Marie Curtis Park East Beach,Marie Curtis Park East Beach site 4,2007-06-08,10
