beach,estimate,standardError
SunnysideBeach,0.3408037577893754,0.015920498332991376
MarieCurtisParkEastBeach,0.3406496847355983,0.018629521639754978
CentreIslandBeach,0.08567229325351833,0.017622657627130174
KewBalmyBeach,0.03560812871843586,0.01621016190114875
BluffersBeachPark,-0.07952987259598439,0.015473574478719443
WardsIslandBeach,-0.11881643189335217,0.015661487837527282
WoodbineBeaches,-0.12082033813396252,0.015061458224652342
CherryBeach,-0.14741459768958154,0.013773383383403734
HanlansPointBeach,-0.15498799099404376,0.010687139139112987
GibraltarPointBeach,-0.1781003792966362,0.011556873609208157
