beachA,beachB,difference,pValueCalendarMonths,differsCalendarMonths,pValueMergedMonths,differsMergedMonths
HanlansPointBeach,SunnysideBeach,-0.49579174878341914,8.730505965875966e-147,true,1.2698575676986907e-115,true
SunnysideBeach,WoodbineBeaches,0.4616240959233379,1.6006267474608308e-103,true,2.7295461926037715e-104,true
GibraltarPointBeach,SunnysideBeach,-0.5189041370860116,9.787956023247725e-123,true,6.481531471423426e-102,true
GibraltarPointBeach,MarieCurtisParkEastBeach,-0.5187500640322344,2.1449921576251053e-101,true,3.605104617363427e-101,true
HanlansPointBeach,MarieCurtisParkEastBeach,-0.49563767572964207,1.9385365538174104e-93,true,4.21991138194465e-92,true
CherryBeach,MarieCurtisParkEastBeach,-0.48806428242517985,2.573263501024156e-94,true,1.5093428024575495e-88,true
CherryBeach,SunnysideBeach,-0.4882183554789569,1.8188880197487647e-89,true,5.217733175032378e-74,true
MarieCurtisParkEastBeach,WardsIslandBeach,0.4594661166289505,4.748869197940791e-76,true,5.032301550218996e-63,true
MarieCurtisParkEastBeach,WoodbineBeaches,0.46147002286956085,2.1667715703406022e-61,true,2.566413258735874e-62,true
BluffersBeachPark,MarieCurtisParkEastBeach,-0.4201795573315827,6.55450485880432e-57,true,1.2636818411260447e-57,true
BluffersBeachPark,SunnysideBeach,-0.42033363038535976,4.989905465892955e-57,true,6.439842283611877e-52,true
SunnysideBeach,WardsIslandBeach,0.45962018968272755,1.1653969605354298e-64,true,1.417574026737041e-48,true
KewBalmyBeach,SunnysideBeach,-0.3051956290709395,7.325252586115384e-43,true,7.672777879181392e-41,true
KewBalmyBeach,WoodbineBeaches,0.1564284668523984,8.063982652469412e-37,true,1.8169551160337537e-35,true
KewBalmyBeach,MarieCurtisParkEastBeach,-0.30504155601716243,9.794831938409883e-28,true,3.127852601981643e-29,true
CentreIslandBeach,GibraltarPointBeach,0.2637726725501545,3.9670542422335645e-31,true,1.625827810015722e-26,true
CentreIslandBeach,SunnysideBeach,-0.25513146453585706,4.736551106507456e-27,true,3.94793920588019e-23,true
CentreIslandBeach,MarieCurtisParkEastBeach,-0.25497739148208,1.4214049082109156e-20,true,1.3873927210688782e-19,true
CentreIslandBeach,HanlansPointBeach,0.24066028424756208,7.904504057481305e-23,true,6.447912627397387e-19,true
GibraltarPointBeach,KewBalmyBeach,-0.21370850801507205,3.9737288367759015e-18,true,8.122948677509598e-16,true
HanlansPointBeach,KewBalmyBeach,-0.1905961197124796,1.6196578500312133e-18,true,1.300559115595774e-15,true
CentreIslandBeach,WoodbineBeaches,0.20649263138748086,4.419085777063883e-17,true,2.5835688597382805e-15,true
CentreIslandBeach,CherryBeach,0.23308689094309987,4.346398838620479e-17,true,1.4991055698347883e-14,true
BluffersBeachPark,CentreIslandBeach,-0.1652021658495027,3.302724685023645e-11,true,2.796326314966575e-10,true
CentreIslandBeach,WardsIslandBeach,0.2044887251468705,5.255177050170702e-13,true,3.9900929721353e-10,true
CherryBeach,KewBalmyBeach,-0.1830227264080174,1.3693783660333234e-10,true,1.0828861690408815e-8,true
BluffersBeachPark,KewBalmyBeach,-0.11513800131442026,1.3587298846651299e-6,true,5.771573283222202e-6,true
KewBalmyBeach,WardsIslandBeach,0.15442456061178803,1.8972869221238773e-6,true,0.00007234665678360659,true
BluffersBeachPark,GibraltarPointBeach,0.0985705067006518,0.0001309223759412314,true,0.00022766977478714983,true
GibraltarPointBeach,WardsIslandBeach,-0.05928394740328402,0.00023828880503449603,true,0.0018843769459882872,true
BluffersBeachPark,HanlansPointBeach,0.07545811839805937,0.008705083591409778,true,0.015927702776175386,true
BluffersBeachPark,CherryBeach,0.06788472509359715,0.0327325074472265,true,0.06102478377673649,false
CherryBeach,WardsIslandBeach,-0.02859816579622937,0.08228314432124775,false,0.13064406400308698,false
GibraltarPointBeach,WoodbineBeaches,-0.05728004116267367,0.16568642813742612,false,0.22841864961291042,false
CherryBeach,GibraltarPointBeach,0.030685781607054652,0.2875835350847949,false,0.3400396929138577,false
BluffersBeachPark,WoodbineBeaches,0.04129046553797813,0.2983765564760001,false,0.3832605593927684,false
CentreIslandBeach,KewBalmyBeach,0.050064164535082466,0.30614549590859164,false,0.4997677049254184,false
GibraltarPointBeach,HanlansPointBeach,-0.023112388302592435,0.30614549590859164,false,0.4997677049254184,false
HanlansPointBeach,WardsIslandBeach,-0.036171559100691586,0.2983765564760001,false,0.4997677049254184,false
HanlansPointBeach,WoodbineBeaches,-0.034167652860081235,0.5528091126934941,false,0.6494734499933265,false
BluffersBeachPark,WardsIslandBeach,0.03928655929736778,0.5528091126934941,false,0.6794648768129484,false
CherryBeach,HanlansPointBeach,0.007573393304462217,1.0,false,1.0,false
CherryBeach,WoodbineBeaches,-0.026594259555619018,1.0,false,1.0,false
MarieCurtisParkEastBeach,SunnysideBeach,-0.0001540730537770707,1.0,false,1.0,false
WardsIslandBeach,WoodbineBeaches,0.002003906240610351,1.0,false,1.0,false
