beachName,year,days,daysOverLimit,share
Bluffer's Beach Park,2007,89,24,0.2696629213483146
Bluffer's Beach Park,2008,89,16,0.1797752808988764
Bluffer's Beach Park,2009,74,12,0.16216216216216217
Bluffer's Beach Park,2010,100,27,0.27
Bluffer's Beach Park,2011,100,5,0.05
Bluffer's Beach Park,2012,102,6,0.058823529411764705
Bluffer's Beach Park,2013,101,14,0.13861386138613863
Bluffer's Beach Park,2014,105,11,0.10476190476190476
Bluffer's Beach Park,2015,112,11,0.09821428571428571
Bluffer's Beach Park,2016,105,2,0.01904761904761905
Bluffer's Beach Park,2017,103,3,0.02912621359223301
Bluffer's Beach Park,2018,105,7,0.06666666666666667
Bluffer's Beach Park,2019,102,6,0.058823529411764705
Bluffer's Beach Park,2020,80,2,0.025
Bluffer's Beach Park,2021,105,26,0.24761904761904763
Bluffer's Beach Park,2022,105,8,0.0761904761904762
Bluffer's Beach Park,2023,105,10,0.09523809523809523
Bluffer's Beach Park,2024,105,13,0.12380952380952381
Bluffer's Beach Park,2025,104,10,0.09615384615384616
Bluffer's Beach Park,2026,110,13,0.11818181818181818
Centre Island Beach,2007,81,14,0.1728395061728395
Centre Island Beach,2008,84,12,0.14285714285714285
Centre Island Beach,2009,54,6,0.1111111111111111
Centre Island Beach,2010,95,21,0.22105263157894736
Centre Island Beach,2011,98,6,0.061224489795918366
Centre Island Beach,2012,101,9,0.0891089108910891
Centre Island Beach,2013,105,26,0.24761904761904763
Centre Island Beach,2014,105,14,0.13333333333333333
Centre Island Beach,2015,111,13,0.11711711711711711
Centre Island Beach,2016,105,4,0.0380952380952381
Centre Island Beach,2017,103,5,0.04854368932038835
Centre Island Beach,2018,104,9,0.08653846153846154
Centre Island Beach,2019,101,5,0.04950495049504951
Centre Island Beach,2020,74,3,0.04054054054054054
Centre Island Beach,2021,91,15,0.16483516483516483
Centre Island Beach,2022,104,22,0.21153846153846154
Centre Island Beach,2023,103,22,0.21359223300970873
Centre Island Beach,2024,101,25,0.24752475247524752
Centre Island Beach,2025,99,23,0.23232323232323232
Centre Island Beach,2026,110,14,0.12727272727272726
Cherry Beach,2007,89,6,0.06741573033707865
Cherry Beach,2008,88,14,0.1590909090909091
Cherry Beach,2009,74,6,0.08108108108108109
Cherry Beach,2010,100,13,0.13
Cherry Beach,2011,99,4,0.04040404040404041
Cherry Beach,2012,104,8,0.07692307692307693
Cherry Beach,2013,105,12,0.11428571428571428
Cherry Beach,2014,104,4,0.038461538461538464
Cherry Beach,2015,112,11,0.09821428571428571
Cherry Beach,2016,105,2,0.01904761904761905
Cherry Beach,2017,103,12,0.11650485436893204
Cherry Beach,2018,105,9,0.08571428571428572
Cherry Beach,2019,104,6,0.057692307692307696
Cherry Beach,2020,80,2,0.025
Cherry Beach,2021,104,6,0.057692307692307696
Cherry Beach,2022,105,4,0.0380952380952381
Cherry Beach,2023,105,9,0.08571428571428572
Cherry Beach,2024,103,5,0.04854368932038835
Cherry Beach,2025,104,4,0.038461538461538464
Cherry Beach,2026,110,11,0.1
Gibraltar Point Beach,2007,85,3,0.03529411764705882
Gibraltar Point Beach,2008,84,5,0.05952380952380952
Gibraltar Point Beach,2009,54,1,0.018518518518518517
Gibraltar Point Beach,2010,96,7,0.07291666666666667
Gibraltar Point Beach,2011,94,4,0.0425531914893617
Gibraltar Point Beach,2012,98,4,0.04081632653061224
Gibraltar Point Beach,2013,104,11,0.10576923076923077
Gibraltar Point Beach,2014,102,4,0.0392156862745098
Gibraltar Point Beach,2015,111,5,0.04504504504504504
Gibraltar Point Beach,2016,105,2,0.01904761904761905
Gibraltar Point Beach,2017,103,6,0.05825242718446602
Gibraltar Point Beach,2018,105,5,0.047619047619047616
Gibraltar Point Beach,2019,99,6,0.06060606060606061
Gibraltar Point Beach,2020,72,1,0.013888888888888888
