beachName,days,daysOverLimit,share
Marie Curtis Park East Beach,1925,657,0.3412987012987013
Sunnyside Beach,1986,632,0.31822759315206445
Kew Balmy Beach,2011,316,0.15713575335653904
Centre Island Beach,1929,268,0.13893208916537067
Bluffer's Beach Park,2001,226,0.11294352823588207
Ward's Island Beach,1952,177,0.09067622950819672
Woodbine Beaches,2005,177,0.0882793017456359
Cherry Beach,2003,148,0.07388916625062407
Hanlan's Point Beach,1939,130,0.06704486848891181
Gibraltar Point Beach,1911,85,0.044479330193615906
